TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,WR,YEAR
North Carolina,ACC,40,33,2.77344E+00,-1.26739E+00,1.79775E+00,8.81005E-01,-6.86403E-01,-1.56669E+00,-1.89683E-01,2.70316E+00,1.49391E-01,-4.04236E-01,-6.88248E-01,1.40795E+00,-1.41371E+00,-5.44331E-01,7.51652E-01,1.28235E+00,2.37378E+00,8.25000E-01,2016
Wisconsin,B10,40,36,3.57181E+00,-1.46702E+00,1.88665E+00,1.59564E+00,-8.24574E-01,-2.99247E+00,-1.26060E+00,6.62404E-01,-1.79817E+00,3.03020E-01,-1.93888E+00,1.67262E+00,-1.38356E+00,8.48026E-01,1.28541E+00,-2.72838E+00,2.76991E+00,9.00000E-01,2015
Michigan,B10,40,33,1.54837E+00,-1.95843E+00,1.73665E+00,1.30329E+00,-8.24574E-01,-2.23205E+00,3.90398E-01,-9.03755E-01,-1.42721E+00,-6.94393E-01,-7.50780E-01,1.64321E+00,-7.50464E-01,3.71693E-01,-4.80104E-01,-5.93634E-01,2.12436E+00,8.25000E-01,2018
Texas Tech,B12,38,31,1.65849E+00,-2.75695E+00,1.86237E+00,1.17335E+00,-2.44808E+00,-4.73599E-01,1.86291E+00,-4.52891E-01,-2.52487E-01,-2.95428E-01,2.80993E-01,1.08445E+00,-2.22770E+00,8.48026E-01,-1.91715E+00,-7.61196E-02,2.13904E+00,8.15789E-01,2019
Gonzaga,WCC,39,37,2.01638E+00,-2.58803E+00,1.87490E+00,2.18034E+00,-3.10439E+00,-1.18649E+00,-6.80521E-01,1.64080E-01,-1.02533E+00,8.10794E-01,-1.23540E+00,2.11375E+00,-2.80050E+00,1.47092E+00,-2.20456E+00,1.21767E+00,2.24174E+00,9.48718E-01,2017
Kentucky,SEC,40,29,1.93379E+00,-1.06776E+00,1.61407E+00,3.95553E-03,-1.41180E+00,-2.83496E-01,-1.12674E+00,3.01164E+00,5.66503E-02,3.13205E+00,3.12259E-01,2.61019E-01,-1.32327E+00,-3.61126E-01,-8.90690E-01,-5.93634E-01,1.68422E+00,7.25000E-01,2014
Michigan,B10,38,30,2.52568E+00,-1.45167E+00,1.79422E+00,1.53067E+00,-7.20945E-01,-1.94690E+00,3.34250E-02,7.57322E-01,-3.60909E-02,-1.11149E+00,-1.89198E+00,1.26090E+00,-5.09283E-01,1.36100E+00,-7.26456E-01,-9.49425E-01,2.02166E+00,7.89474E-01,2013
Duke,ACC,39,35,3.03498E+00,-1.92771E+00,1.88900E+00,2.18034E+00,-1.23909E+00,-1.13896E+00,-1.11966E-02,1.54040E+00,2.11219E-01,9.55873E-01,-1.70439E+00,1.99612E+00,-9.01202E-01,1.65413E+00,-1.21916E+00,-4.31911E-01,2.68188E+00,8.97436E-01,2015
Virginia,ACC,38,35,2.73215E+00,-2.03521E+00,1.87803E+00,1.72557E+00,-1.86085E+00,-1.89937E+00,-5.02034E-01,2.58999E-01,-1.27264E+00,-9.84550E-01,-1.32920E+00,9.96229E-01,-1.08209E+00,1.94725E+00,-2.24562E+00,-2.27555E+00,2.74056E+00,9.21053E-01,2019
North Carolina,ACC,39,33,2.45685E+00,-1.78951E+00,1.83064E+00,5.88655E-01,-6.86403E-01,-1.18649E+00,-1.11966E-02,2.84553E+00,-1.39629E+00,-4.15407E-02,-5.00653E-01,5.55103E-01,-9.01202E-01,4.81616E-01,-1.92694E-01,1.63815E+00,2.34444E+00,8.46154E-01,2017
Villanova,BE,40,35,2.74591E+00,-1.88164E+00,1.86511E+00,2.01792E+00,-1.17000E+00,-1.13896E+00,8.81236E-01,-2.63054E-01,-3.60909E-02,-7.78102E-02,-7.50780E-01,2.43724E+00,-1.56445E+00,7.38103E-01,-1.92694E-01,-3.34877E-01,2.41779E+00,8.75000E-01,2016
Villanova,BE,40,36,3.47545E+00,-1.39024E+00,1.87372E+00,3.12235E+00,-5.48232E-01,-1.75680E+00,-1.89683E-01,6.91616E-02,-7.47106E-01,-9.30145E-01,-1.26667E+00,2.90778E+00,-8.72167E-02,2.16710E+00,-1.09598E+00,6.03118E-01,2.66721E+00,9.00000E-01,2018
Connecticut,Amer,40,32,1.28684E+00,-1.82022E+00,1.65676E+00,5.23688E-01,-1.89540E+00,-6.63702E-01,4.35020E-01,2.58999E-01,1.01498E+00,6.83851E-01,1.40297E-01,-2.97740E-01,-2.13725E+00,1.65413E+00,-5.62221E-01,-9.49425E-01,1.80159E+00,8.00000E-01,2014
Louisville,BE,40,35,1.75484E+00,-2.86445E+00,1.88077E+00,2.31339E-01,-1.82631E+00,-1.88444E-01,3.73702E+00,2.10991E+00,1.16954E+00,9.92142E-01,1.52336E-02,4.96287E-01,-1.77548E+00,-3.24485E-01,-1.05492E+00,-2.05498E-01,2.43246E+00,8.75000E-01,2013
Louisville,ACC,36,27,8.60124E-01,-2.41912E+00,1.70336E+00,-7.10677E-01,-2.10265E+00,-7.11228E-01,1.19359E+00,1.27938E+00,3.96701E-01,7.56390E-01,-2.34893E-01,-2.09515E-01,-1.80563E+00,-1.27715E+00,-1.67080E+00,-6.90668E-01,1.96298E+00,7.50000E-01,2015
Notre Dame,ACC,38,32,3.04874E+00,-6.99210E-01,1.74683E+00,2.73255E+00,-7.55488E-01,-1.99443E+00,-5.91277E-01,-3.34243E-01,8.29493E-01,3.93694E-01,-1.67312E+00,2.67251E+00,-5.69579E-01,1.76405E+00,-7.26456E-01,-1.24053E+00,2.37378E+00,8.42105E-01,2015
Notre Dame,ACC,36,24,2.08520E+00,2.25353E-02,1.30350E+00,1.33577E+00,-2.02805E-01,-1.61422E+00,-1.70682E+00,8.04782E-01,7.98579E-01,-2.95428E-01,-1.37610E+00,1.11386E+00,-8.40907E-01,1.17779E+00,1.03906E+00,-7.23012E-01,1.44948E+00,6.66667E-01,2016
Virginia,ACC,37,29,2.30544E+00,-1.86629E+00,1.82477E+00,1.59564E+00,-5.82775E-01,-1.70927E+00,7.80467E-02,1.40351E-01,-1.33447E+00,-4.40506E-01,-2.19260E-01,1.02564E+00,-9.01202E-01,2.24038E+00,1.35774E-01,-1.88742E+00,2.37378E+00,7.83784E-01,2016
Duke,ACC,37,29,2.63580E+00,-1.57452E+00,1.82164E+00,1.95295E+00,-1.27363E+00,-5.68651E-01,-5.91277E-01,2.25229E+00,1.49391E-01,1.28637E-02,-1.95451E+00,2.02552E+00,-1.17253E+00,1.10451E+00,-9.72807E-01,1.02360E+00,2.08035E+00,7.83784E-01,2018
Florida St.,ACC,35,23,1.38319E+00,-1.03705E+00,1.44527E+00,1.07590E+00,-5.82775E-01,-4.26073E-01,3.45776E-01,7.09863E-01,8.75640E-02,4.48099E-01,-3.75590E-01,1.31972E+00,-1.17253E+00,2.98411E-01,4.64243E-01,1.54111E+00,1.24408E+00,6.57143E-01,2018
Duke,ACC,38,32,2.16779E+00,-2.14270E+00,1.84278E+00,1.20584E+00,-1.75723E+00,-5.68651E-01,3.45776E-01,1.49294E+00,-5.17715E-03,-2.41023E-01,-1.68876E+00,2.61369E+00,-1.29312E+00,-1.24051E+00,-1.83504E+00,1.89690E+00,2.75524E+00,8.42105E-01,2019
Purdue,B10,36,26,2.70462E+00,-1.35953E+00,1.80088E+00,1.20584E+00,-3.75518E-01,-1.37659E+00,-1.11966E-02,1.23192E+00,-7.78020E-01,-8.39471E-01,-4.85020E-01,7.02145E-01,-6.29874E-01,1.17779E+00,-6.95187E-02,-2.37843E-01,2.00699E+00,7.22222E-01,2019
Kansas,B12,37,32,2.44309E+00,-1.95843E+00,1.84905E+00,1.88799E+00,-1.72268E+00,-4.26073E-01,-5.58182E-02,6.86133E-01,-4.99797E-01,7.38255E-01,3.90424E-01,1.05505E+00,-1.77548E+00,2.60679E+00,-7.67514E-01,7.64841E-01,2.81392E+00,8.64865E-01,2016
Kansas,B12,36,31,2.52568E+00,-1.32882E+00,1.77464E+00,2.01792E+00,-6.86403E-01,-5.21125E-01,-1.11966E-02,1.13700E+00,5.66503E-02,2.66751E-01,-7.50780E-01,1.31972E+00,-1.20268E+00,2.27702E+00,5.05301E-01,1.18532E+00,2.72589E+00,8.61111E-01,2017
