"","TEAM","CONF","G","W","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR","YEAR"
"1","North Carolina","ACC",40,33,0.881005,-0.686403,-1.56669,-0.189683,2.70316,0.149391,-0.404236,-0.688248,0.825,2016
"2","Wisconsin","B10",40,36,1.59564,-0.824574,-2.99247,-1.2606,0.662404,-1.79817,0.30302,-1.93888,0.9,2015
"3","Michigan","B10",40,33,1.30329,-0.824574,-2.23205,0.390398,-0.903755,-1.42721,-0.694393,-0.75078,0.825,2018
"4","Texas Tech","B12",38,31,1.17335,-2.44808,-0.473599,1.86291,-0.452891,-0.252487,-0.295428,0.280993,0.815789,2019
"5","Gonzaga","WCC",39,37,2.18034,-3.10439,-1.18649,-0.680521,0.16408,-1.02533,0.810794,-1.2354,0.948718,2017
"6","Kentucky","SEC",40,29,0.00395553,-1.4118,-0.283496,-1.12674,3.01164,0.0566503,3.13205,0.312259,0.725,2014
"7","Michigan","B10",38,30,1.53067,-0.720945,-1.9469,0.033425,0.757322,-0.0360909,-1.11149,-1.89198,0.789474,2013
"8","Duke","ACC",39,35,2.18034,-1.23909,-1.13896,-0.0111966,1.5404,0.211219,0.955873,-1.70439,0.897436,2015
"9","Virginia","ACC",38,35,1.72557,-1.86085,-1.89937,-0.502034,0.258999,-1.27264,-0.98455,-1.3292,0.921053,2019
"10","North Carolina","ACC",39,33,0.588655,-0.686403,-1.18649,-0.0111966,2.84553,-1.39629,-0.0415407,-0.500653,0.846154,2017
"11","Villanova","BE",40,35,2.01792,-1.17,-1.13896,0.881236,-0.263054,-0.0360909,-0.0778102,-0.75078,0.875,2016
"12","Villanova","BE",40,36,3.12235,-0.548232,-1.7568,-0.189683,0.0691616,-0.747106,-0.930145,-1.26667,0.9,2018
"13","Connecticut","Amer",40,32,0.523688,-1.8954,-0.663702,0.43502,0.258999,1.01498,0.683851,0.140297,0.8,2014
"14","Louisville","BE",40,35,0.231339,-1.82631,-0.188444,3.73702,2.10991,1.16954,0.992142,0.0152336,0.875,2013
"15","Louisville","ACC",36,27,-0.710677,-2.10265,-0.711228,1.19359,1.27938,0.396701,0.75639,-0.234893,0.75,2015
"16","Notre Dame","ACC",38,32,2.73255,-0.755488,-1.99443,-0.591277,-0.334243,0.829493,0.393694,-1.67312,0.842105,2015
"17","Notre Dame","ACC",36,24,1.33577,-0.202805,-1.61422,-1.70682,0.804782,0.798579,-0.295428,-1.3761,0.666667,2016
"18","Virginia","ACC",37,29,1.59564,-0.582775,-1.70927,0.0780467,0.140351,-1.33447,-0.440506,-0.21926,0.783784,2016
"19","Duke","ACC",37,29,1.95295,-1.27363,-0.568651,-0.591277,2.25229,0.149391,0.0128637,-1.95451,0.783784,2018
"20","Florida St.","ACC",35,23,1.0759,-0.582775,-0.426073,0.345776,0.709863,0.087564,0.448099,-0.37559,0.657143,2018
