LR,SGD,ANN,KNN,,,
0.070840078,0.06783,0.06612,0.148936502,,,
0.071287896,0.07392,0.07520,0.155333681,,,
0.073813766,0.06748,0.06535,0.155380087,,,
0.07001165,0.06779,0.06647,0.160562046,,,
0.067486929,0.07061,0.06994,0.167583237,,,
0.072641232,0.06290,0.06510,0.151942511,,,
0.067163071,0.07082,0.07209,0.141556503,,,
0.073906558,0.08501,0.08211,0.151663893,,,
0.073031409,0.06695,0.07010,0.142111225,,,
0.075360824,0.06811,0.07578,0.15692318,,,
0.078349936,0.06496,0.07139,0.159306293,,,
0.073420631,0.06841,0.07559,0.161829823,,,
0.066385605,0.06407,0.05746,0.158353269,,,
0.075578374,0.07101,0.07107,0.137526839,,,
0.077376021,0.09337,0.09544,0.153287,,,
0.06965143,0.10228,0.09805,0.152288749,,,
0.075445085,0.09059,0.08695,0.146773529,,,
0.068504681,0.07048,0.06589,0.157636493,,,
0.069695179,0.07566,0.18459,0.158596129,,,
0.079428227,0.08102,0.25086,0.136307897,,,
