"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
53.7,43.7,18.7,18.6,32.6,26.4,35.8,23.2,0.933333333333333
49.4,45.2,17.8,22.7,35.8,29.8,30.8,30.8,0.866666666666667
57.5,47.6,15.3,18.4,33.6,22.7,38.8,21.8,0.939393939393939
59.7,46.6,18,18.8,26.4,26.6,33.9,30.9,0.935483870967742
52.6,43.3,18.1,15.8,32.8,26,30.8,29.3,0.709677419354839
52.6,45.7,17.8,20.2,34.8,28,35.6,30.9,0.806451612903226
55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,0.8
52.3,46.2,19.1,18.3,31.1,25.5,36.7,29.3,0.67741935483871
52.5,45.1,18,17.4,32,25,32.2,29,0.774193548387097
54.6,45.2,16.2,21.3,28.2,25.4,28.3,30.6,0.967741935483871
52.6,48.2,16,16.9,25.7,24.5,26.9,23.6,0.774193548387097
48,43.9,17.8,18.2,38.7,25.3,32.9,41.6,0.741935483870968
50.7,45.3,16.7,20.6,30.7,25.9,36.7,35.2,0.65625
52.8,46.9,15.3,16.1,25,25.5,26.7,26.4,0.612903225806452
49.5,46.4,15.8,18.6,29.2,27.6,31,31.8,0.67741935483871
46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,0.67741935483871
58.1,49,15.5,18.2,20.6,24.1,23.4,27.9,0.774193548387097
54.3,47.3,17.5,19.8,32.7,31.1,28.9,29.5,0.774193548387097
50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,0.67741935483871
51.9,47,18.9,23.7,33.5,30.2,30.1,34.4,0.838709677419355
51.4,45.7,18.6,19.5,29.1,30.4,34.8,32.4,0.7
51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,0.580645161290323
47.8,47.1,17.4,20.4,34.9,27.2,25.8,31.9,0.516129032258065
52.3,45.8,17.3,17.9,29.4,25.4,29.4,30.9,0.709677419354839
47.3,47.4,19.3,21.4,33.7,28.4,35.9,37.4,0.612903225806452
48.6,46.1,16.7,17.3,31.5,26.6,37.7,24.2,0.774193548387097
49.4,45.6,16.7,15.8,31.3,27.9,27.5,28,0.483870967741935
50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,0.806451612903226
48.3,47,17.9,16.6,35.6,25.7,32.2,23.9,0.7
48.9,45.1,17.9,18.9,32,25.4,29.1,27.5,0.666666666666667
51.6,49.4,17.1,17.6,32,29.5,34.4,26.8,0.645161290322581
52.1,47.9,17.8,19.2,31.1,27.4,34,33.7,0.612903225806452
51.6,46.8,18.9,15.1,30,26,39.2,34.9,0.6
46.9,43.1,20.1,19.3,26.4,23.2,26.6,21.6,0.766666666666667
47.1,44.4,17.9,20.1,31.7,24.1,33.7,38.4,0.741935483870968
49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,0.625
48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,0.612903225806452
51.8,46.4,18.2,17.5,30.7,22.4,36.3,26.8,0.8125
50,47.1,17.9,18.7,35.3,27.4,43.8,33.9,0.806451612903226
49,46.4,19.8,18.6,32.2,27.6,30.9,28.9,0.59375
54.2,50.8,14.9,17.7,25.1,23.6,30.8,28,0.757575757575758
50.5,46.9,19.2,19.4,30.3,23.9,36.2,26.1,0.65625
52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,0.67741935483871
50.5,48.3,16.5,20.3,29.6,32.2,35.7,30.2,0.5625
53.5,45.6,20.7,22.5,22.1,27.8,31,31.8,0.625
50.8,47.8,16.9,20.1,28.8,30.9,28.5,35.4,0.625
50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,0.666666666666667
53.5,47.7,15.6,19.9,22.6,26.3,27.8,30.2,0.774193548387097
51.5,48.1,20.6,17.1,37,28.3,39.5,31.6,0.645161290322581
50.1,46.1,18.8,19.6,34.2,25.2,39.8,36.6,0.766666666666667
49.8,44.6,22.9,19.3,29.2,28.9,34.8,35.7,0.566666666666667
50.9,47.3,15.9,22.1,21.5,31.4,42.5,40.9,0.625
47.8,46.7,19.4,20.6,29.5,29,35.2,33.1,0.5625
50.4,44.1,21.3,19.3,27.4,31.8,37.9,31.4,0.46875
50.4,47.5,14.2,16.8,26.9,28.1,25,19.7,0.625
47.8,46.4,19.9,21.9,34.1,29.4,34.6,34.6,0.612903225806452
45.9,48.2,15.1,22.7,30,31.4,30,36.2,0.53125
49.5,44.6,20.4,18.1,30.6,27.9,35.4,28,0.709677419354839
48.8,49.1,17.9,22.3,26.5,28.6,32.4,34.2,0.645161290322581
52.2,47.9,19.1,18.1,29.7,31,36.9,35.8,0.516129032258065
48.6,45.2,18.1,21.4,32.1,28.6,36.8,53,0.580645161290323
48.8,45.9,20.5,19.6,30.5,30.1,37.3,35.3,0.548387096774194
49.7,41.2,22.3,20.2,30,29.4,39.9,35,0.67741935483871
54.8,48.5,18.6,15.6,28.9,22.5,27.6,25.8,0.862068965517241
51.3,50.2,17.3,18.5,29,24.1,29.4,31.9,0.666666666666667
49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,0.580645161290323
49.9,46.9,20.5,20.8,26.7,32.2,22,35.3,0.612903225806452
53.4,49.4,16.5,17.2,24.6,24.8,31.5,32.7,0.533333333333333
55.3,49.8,20.6,20.7,29.3,27.7,29.4,38.8,0.689655172413793
48.4,50.9,19.5,19.4,34.5,25.4,37.6,35.2,0.633333333333333
50.1,48.3,18.5,20,23.3,24.5,28.9,28.7,0.516129032258065
53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,0.785714285714286
46.9,47.4,16.4,20.9,30.4,28.6,37.1,28.5,0.7
53.8,46.5,18.5,16.6,25.8,21.3,31.2,25.7,0.821428571428571
49.6,46.7,19.7,21.5,26.3,28,39.8,28.3,0.67741935483871
53.5,49.8,18.2,22.4,31.8,26.2,36.9,33.1,0.967741935483871
49.1,50.8,18.9,18.8,32.5,28.7,33.9,26.6,0.46875
46.4,49.1,18.1,16,35.3,24.2,33.5,29.2,0.424242424242424
54.4,45.6,15.2,19.4,23.9,21.3,32,28.6,0.9375
52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,0.612903225806452
48.9,46.9,16.6,21.2,29.6,29.8,35.2,39,0.7
52.1,49.2,19.8,18.7,34.1,29,31.7,28.2,0.633333333333333
51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,0.827586206896552
51.6,49.4,17.3,18.6,26.5,29,38.8,30.9,0.580645161290323
49.4,49.3,21.5,21,32.2,29.6,27.1,30.8,0.516129032258065
52.7,49.6,20.6,20.9,34.5,21.7,31.9,32,0.862068965517241
54.6,50.7,16.6,23,23.5,28.4,31.6,26.8,0.862068965517241
50.9,50.7,20.1,17.9,31.6,30.1,33.6,31.5,0.516129032258065
51.7,44.8,17.2,19,27.6,22.7,31.3,31.5,0.8125
49.8,51.8,18.7,20.6,29.2,31.6,28.5,28,0.375
51.2,48,18.5,20.2,29.5,30.5,32.8,29.2,0.7
54.7,48.5,15.4,16.8,25,24,25.3,24.9,0.758620689655172
48.9,50.1,16.5,24.9,33.2,26.8,25,36.8,0.766666666666667
54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,0.67741935483871
47.5,49.6,21.3,24.3,29.6,30.2,34.7,38.8,0.34375
47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,0.516129032258065
49.7,49.2,19.3,17.4,34,24,34.1,40.6,0.53125
54.8,47.8,16,19.5,24.7,26.7,22.9,24.3,0.8125
51.1,51.1,17.8,19.2,25.5,22.6,36,29.8,0.645161290322581
47,46.3,20.8,20.8,31.4,27.7,35.7,47.8,0.483870967741935
49,49.7,19.7,15.2,28.6,26,41,35.2,0.419354838709677
48.8,50.2,17.2,17.6,26,31.9,28.1,22.9,0.483870967741935
48.6,47.7,18.9,19.6,26.4,27.8,36.8,40.7,0.46875
53.3,49.6,23.6,27.8,37.3,26.8,44,44.6,1
51.7,50.3,16.5,19.8,29.8,29.5,34.3,20.2,0.787878787878788
49.4,47.8,19.9,20.6,28.8,30.5,30.9,29.4,0.533333333333333
50.5,45.7,19.5,19.6,25.4,25.1,30.9,28.5,0.6
49.5,46.4,17.2,17.9,31.5,25.9,32.3,31.2,0.696969696969697
46.6,51,22.2,23.3,32.4,25.2,37.5,34.5,0.451612903225806
51.7,50.6,16.9,19.1,23.6,25.7,32.3,33.5,0.620689655172414
51.3,50.3,19.7,17.7,29,26.9,35.8,23,0.516129032258065
51.2,47.3,19.7,17.6,30,25,32.6,31.4,0.75
53.9,51.6,18.6,17.6,26.3,23.8,39.2,24.1,0.645161290322581
51.6,44.9,20.2,16.4,34.1,25.3,28,36,0.7
49.5,48.1,18.2,18.1,33,21.3,34,41.6,0.741935483870968
46.9,49.2,15.6,15.8,22,29.3,25.8,28.6,0.258064516129032
51.2,50.2,17.7,19.3,25.5,31.1,39.6,21,0.689655172413793
50.3,48.5,14.6,17.6,21,25.5,22.9,26.1,0.5
45.8,49.9,17.2,20.9,27.8,26,30.7,32.3,0.5
49.8,49.6,19.7,18.2,31.9,22.7,28.7,33.2,0.484848484848485
54.8,51.7,17.9,19.8,24.4,24.2,25.6,30.6,0.515151515151515
51,46.5,16.6,18.9,31.9,29.4,37.8,27.1,0.833333333333333
45.1,49.8,18.4,23.3,32.8,34.5,35.1,26,0.484848484848485
49.1,49.3,17.4,17.7,30.9,26.6,27.2,33,0.633333333333333
52.7,46.4,19.9,18.5,28.9,24.8,40.1,32.2,0.766666666666667
51.9,49.2,14.7,14.6,22.4,19,33.3,26.6,0.806451612903226
50,52.8,17.4,19,26.9,27.8,33,34.7,0.5
46,46.4,18.1,18.5,25.9,26.7,33.3,29.5,0.451612903225806
46.4,49.2,21.3,22.4,31.3,31.8,41.1,26,0.533333333333333
52.3,48,18.4,19.4,30,30.4,28.9,34.4,0.666666666666667
50.3,46.9,18.9,20.8,30.9,32.9,31.3,47,0.633333333333333
52.3,47.6,17.3,16.7,22.8,28.4,24.6,25,0.615384615384615
55.8,48.1,18.4,15.3,28.2,27.1,32.3,26,0.733333333333333
49.6,50.4,20.6,26.1,28.8,29.5,41.1,48.9,0.740740740740741
47.3,46.9,16.2,17.5,26.5,29,29,35.8,0.466666666666667
52.2,48.7,18.7,18.9,20.8,26.5,35.9,37.8,0.612903225806452
52.8,49.8,15.7,17.3,27.9,26.3,24.9,23.8,0.757575757575758
52.8,49,22.1,19.6,30.1,28.7,45.3,34.4,0.7
52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,0.645161290322581
53.6,52.3,18.3,17.2,24.6,24,27.8,26.5,0.538461538461538
52.3,48.7,16.9,20.5,20.1,25.4,26.1,46.3,0.620689655172414
51.7,47.9,20.4,21.3,30.2,35.5,29.3,30.5,0.655172413793103
46.9,49.9,19.2,17.3,25.1,26.3,36,37,0.4375
51.8,48.4,19.2,17.2,31.9,26,36.3,26.9,0.666666666666667
48.8,48.9,18.4,19,34.7,28.8,27.4,30.4,0.645161290322581
50.2,46.3,19.3,20,27.9,32.1,28.6,37.6,0.548387096774194
48.7,48.7,18.1,15.7,32.4,26.9,34.9,31,0.6
51.3,49.1,18.7,18.1,26.6,24.8,29.6,32.8,0.566666666666667
50.2,49.5,18.3,20.7,26,28.7,36.2,27.6,0.645161290322581
52,49.1,17.7,18.5,27.3,27,29.6,33.7,0.793103448275862
53.5,51.6,17.9,17.8,25,24.5,25.7,31.8,0.575757575757576
51.7,50.1,19.2,17.9,23.5,23.3,30.4,30.5,0.625
52.2,52.7,19.5,20,27.9,30.1,37.2,24.4,0.59375
54.6,50.3,17.3,15.8,26.9,31.8,28.6,28.1,0.67741935483871
50.9,51.7,13.8,18.2,29,26.9,28.2,31.7,0.62962962962963
50.2,52.7,18.4,19.6,25.4,29.4,41.4,36.8,0.34375
54.4,49.8,18.6,16.7,23.8,26.8,32.3,29,0.6875
47.6,48.9,15.1,16.4,28.1,26.7,28.1,33.5,0.724137931034483
46.8,51.5,16,18.7,22.3,33,29,21.8,0.21875
51.3,53.1,18.4,20.6,32.9,27.9,37.3,32.5,0.67741935483871
49.5,49.1,19.4,21,20.6,29.9,33.6,25.3,0.516129032258065
51.6,50.4,20.6,20.3,21.5,23.7,38,27.6,0.551724137931034
49.8,49.7,19.4,15.4,30.5,26.5,29.5,28.2,0.379310344827586
51.4,51.5,18.3,20.1,25.5,29.6,40.6,26.6,0.714285714285714
45.3,48.1,18.1,18.5,30.8,21.7,28.8,34,0.40625
50.9,48.7,17.6,16.2,27.8,27.7,36.7,26.5,0.548387096774194
46.5,50.5,19.6,20.8,25.4,30.7,29.1,29.9,0.40625
50.7,51.8,18.1,20,26.1,27.4,26.8,31.7,0.558823529411765
53,50.7,19.1,20,34.8,24.1,36.3,41.9,0.75
49.6,52.9,17.7,20.3,35.9,34.3,30.8,32.1,0.6
54.6,50.5,19.8,16.5,28.4,25.6,38.4,31.2,0.655172413793103
49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,0.451612903225806
47.6,49.6,20.1,18.9,33.1,27.8,34.4,30.6,0.53125
51.1,49.1,16.3,17.7,22.7,29.3,32.3,32.5,0.566666666666667
49.5,46.5,18,20.2,29.7,31.9,33.4,31,0.766666666666667
51.3,49.7,16.9,17.2,29.4,25.1,27.3,26.1,0.636363636363636
53.5,49.5,18.8,14.3,24.6,23.8,30.6,26.5,0.67741935483871
47.8,52.7,16.9,23,22.2,31.2,34.2,29.6,0.4
49.7,49.3,22.2,18.3,31.8,24.3,35.1,27,0.633333333333333
54.6,52.2,15.1,14.9,19.3,22.1,40.8,32.2,0.689655172413793
48.4,48.5,20.8,20.3,28.9,28.4,33.1,40.1,0.5
51.1,51,18.3,19,31.3,25.7,37.2,30,0.724137931034483
48.5,50.5,18.8,20.7,28.7,26.9,26.9,29.3,0.586206896551724
48.7,45.8,19.2,16.8,27.3,23.3,35.9,37,0.566666666666667
49.5,49.8,19.3,24.8,29.4,34.1,25.8,39.7,0.777777777777778
51,51.8,21.9,18.6,27.3,27.8,34.8,38.2,0.354838709677419
45.4,48,19.1,21.7,32.2,25.9,32.1,35.3,0.571428571428571
47.2,47.2,18,17,30.5,24.3,27.4,32.2,0.6
51.5,50.9,17.5,19.2,32.7,29.5,32.6,27.6,0.709677419354839
51,49.6,21,17.7,30.5,26.9,26.5,35.3,0.566666666666667
50.8,46.1,22.5,17.7,27.7,28.2,29.4,36.6,0.529411764705882
