"EFG_O","EFGD_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,0.875
53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,0.85
52.8,47.8,17.9,22.9,36.3,28.8,29,27.7,0.794117647058823
55.6,44.4,18.3,17.4,34.7,28.6,34.9,24,0.891891891891892
55.6,47.1,15,15.7,31.7,28.9,28.6,19.1,0.82051282051282
51.5,47.3,15.5,18.4,31.2,28.9,29.8,25,0.789473684210526
53.1,46.9,16.7,17.5,37.7,24.9,28,25.4,0.764705882352941
49.9,44.1,16.7,20,33.7,28.9,31.6,34.2,0.823529411764706
52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,0.72972972972973
50.7,46.4,17.7,22.9,32.4,27.2,29,31.5,0.771428571428571
56.5,49.1,17.5,14,35.2,23.8,38.2,21.6,0.783783783783784
47.7,49,13,17,25.9,24.4,32.4,27.2,0.757575757575758
50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,0.771428571428571
52.5,46,18.1,15.5,33.1,26.6,32,28.2,0.696969696969697
48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,0.756756756756757
50,46.3,17,15.6,30.3,27.4,37,27,0.818181818181818
53.1,43.3,16.9,21.7,37.7,28,29,34.7,0.842105263157895
53.3,49.7,13,19.2,32.3,30,30,26.3,0.722222222222222
52.7,48.3,17,19.2,27.4,21.7,23.3,25.1,0.787878787878788
49.6,46,17.3,18,37.9,27.6,30.5,31.7,0.696969696969697
50.1,47,17.8,23,31.6,29.8,32,39,0.647058823529412
49.4,45.1,20.7,25.1,33.8,30.9,33.4,37.8,0.647058823529412
51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,0.575757575757576
54.8,50.1,15.2,18.5,21.9,25,29.6,25.6,0.833333333333333
54.3,47.6,17.1,15.5,29.3,28.7,33.4,29.1,0.625
52,48.1,18.8,15.3,30.7,27.1,29.9,28.3,0.638888888888889
52.6,48.1,17.1,20.4,35.3,25.7,32.4,26,1
51.2,44.7,17.9,14.4,33.5,26.7,30.9,26.8,0.764705882352941
51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,0.743589743589744
48.7,44.1,19.3,21.9,29.5,27.3,31.1,31,0.71875
50.7,48.3,18.4,20.2,30.6,22.4,35.2,25.9,0.794117647058823
47.2,45.6,17.7,18.5,32.3,29.1,30.5,27.8,0.67741935483871
52.3,46.6,22.5,20.4,37.4,30.9,37.8,33.2,0.666666666666667
48.7,47.4,21.4,18.6,37.7,26.1,31.4,26.9,0.617647058823529
50.6,44.9,20.4,15.5,28.4,28.5,26.7,20.8,0.657142857142857
52.1,47,17.2,18.9,22.5,31.6,26.2,29.5,0.59375
53.1,47.1,17.9,18.4,30,24,28.5,33,0.727272727272727
53.4,52.5,14,20.4,22.4,30.3,28.9,24.8,0.702702702702703
55.6,46.9,18.5,20.1,25.1,24,31.5,28.9,0.78125
55.6,49.5,14.8,16.7,23.6,22.4,32.5,28,0.818181818181818
55.1,49,17,18.7,27.8,26.2,24.5,25.6,0.638888888888889
52.1,49.7,17.3,14.7,31,24,29.4,25.6,0.558823529411765
54,49,15.6,15.1,22.1,24.7,27.3,22.2,0.705882352941177
49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,0.628571428571429
49.9,48.6,17.3,17.8,29.6,27,26.2,28.6,0.5625
50.6,46.2,17.2,17.6,27,25.1,33.5,30.7,0.6
52.8,48.4,16.4,21.1,33.3,27.5,29.3,31.3,0.818181818181818
52.3,47.1,17.1,15.7,25.5,24.6,37.1,24.8,0.757575757575758
51.9,45.2,20.8,16.8,32.6,25.7,34.6,28.3,0.870967741935484
