G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
2.407583151067077321e+00 ,2.587805265584016023e+00 ,2.773444184379446842e+00 ,-1.267393140549626152e+00 ,1.797746644562982610e+00 ,8.810047007943618835e-01 ,-6.864027564290471339e-01 ,-1.566693201090434862e+00 ,-1.896830001344029237e-01 ,2.703156482907318026e+00 ,1.493914376447718628e-01 ,-4.042364001694268016e-01 ,-6.882479594881061313e-01 ,1.407947002773911604e+00 ,-1.413711767458553537e+00 ,-5.443309246437616489e-01 ,7.516524960573802705e-01 ,1.282354915683060037e+00 ,2.373778844780281894e+00
2.407583151067077321e+00 ,3.044225295154095789e+00 ,3.571807957481187845e+00 ,-1.467024930274664074e+00 ,1.886648423564549093e+00 ,1.595637357411506585e+00 ,-8.245735938372440454e-01 ,-2.992468192680022288e+00 ,-1.260601605059971542e+00 ,6.624037067548287361e-01 ,-1.798172744077208840e+00 ,3.030203001244521910e-01 ,-1.938881767576511983e+00 ,1.672622607916327775e+00 ,-1.383564152650458734e+00 ,8.480255001753809196e-01 ,1.285413759208494877e+00 ,-2.728379357636939062e+00 ,2.769906999989235619e+00
2.407583151067077321e+00 ,2.587805265584016023e+00 ,1.548368739447465448e+00 ,-1.958426258828597888e+00 ,1.736651148861465765e+00 ,1.303287634249947313e+00 ,-8.245735938372440454e-01 ,-2.232054863832242386e+00 ,3.903979108669474729e-01 ,-9.037554005249885947e-01 ,-1.427208138034927076e+00 ,-6.943929951617866525e-01 ,-7.507796498925262130e-01 ,1.643214207344949829e+00 ,-7.504642416804784277e-01 ,3.716930390530433503e-01 ,-4.801042650605789053e-01 ,-5.936336960311313637e-01 ,2.124364821130199754e+00
1.901456979798209934e+00 ,2.283525245870629217e+00 ,1.658487880564946781e+00 ,-2.756953417728743361e+00 ,1.862366880401125746e+00 ,1.173354423955921266e+00 ,-2.448080933383564251e+00 ,-4.735990408717516975e-01 ,1.862910992639605690e+00 ,-4.528914150959507112e-01 ,-2.524868855677005475e-01 ,-2.954276770472914482e-01 ,2.809932417804089089e-01 ,1.084454596488735323e+00 ,-2.227697367277102547e+00 ,8.480255001753809196e-01 ,-1.917153819698199424e+00 ,-7.611959624790771983e-02 ,2.139036234286087357e+00
2.154520065432643516e+00 ,3.196365305010789193e+00 ,2.016375089196761117e+00 ,-2.588034211038328980e+00 ,1.874899289775795896e+00 ,2.180336803734627349e+00 ,-3.104392411072501634e+00 ,-1.186486536666545355e+00 ,-6.805206940586212561e-01 ,1.640803544385229795e-01 ,-1.025329814822454777e+00 ,8.107943413610820826e-01 ,-1.235400250526783594e+00 ,2.113748616487022058e+00 ,-2.800502048630895136e+00 ,1.470921795489209316e+00 ,-2.204563730625722862e+00 ,1.217665653210155963e+00 ,2.241736126377297467e+00
2.407583151067077321e+00 ,1.979245226157242632e+00 ,1.933785733358650560e+00 ,-1.067761350824590227e+00 ,1.614068519665473378e+00 ,3.955531309681697798e-03 ,-1.411799652822083972e+00 ,-2.834957086598056675e-01 ,-1.126736779444275083e+00 ,3.011642367674554066e+00 ,5.665028613420114434e-02 ,3.132047101299963110e+00 ,3.122590869826183946e-01 ,2.610193804901070336e-01 ,-1.323268923034271349e+00 ,-3.611261319044006823e-01 ,-8.906898520998987046e-01 ,-5.936336960311313637e-01 ,1.684222426453584776e+00
1.901456979798209934e+00 ,2.131385236013935813e+00 ,2.525676116865113841e+00 ,-1.451668638757352303e+00 ,1.794221904426356984e+00 ,1.530670752264494672e+00 ,-7.209454657810969724e-01 ,-1.946899865514325034e+00 ,3.342504255842401045e-02 ,7.573224405293627060e-01 ,-3.609086537636958109e-02 ,-1.111493100463304629e+00 ,-1.891982999773196727e+00 ,1.260904999917013436e+00 ,-5.092833232157221168e-01 ,1.360998919845591182e+00 ,-7.264556172841714066e-01 ,-9.494246396321015524e-01 ,2.021664929038989644e+00
2.154520065432643516e+00 ,2.892085285297402830e+00 ,3.034977144533466564e+00 ,-1.927713675793978565e+00 ,1.888998250322299954e+00 ,2.180336803734627349e+00 ,-1.239086106061837222e+00 ,-1.138960703613558501e+00 ,-1.119656598014042576e-02 ,1.540401994169270594e+00 ,2.112188719851519902e-01 ,9.558726388572615917e-01 ,-1.704387928559935927e+00 ,1.996115014201503834e+00 ,-9.012023157209503310e-01 ,1.654126588228570283e+00 ,-1.219158321731356187e+00 ,-4.319105398488733982e-01 ,2.681878521053912667e+00
1.901456979798209934e+00 ,2.892085285297402830e+00 ,2.732149506460391564e+00 ,-2.035207716415150081e+00 ,1.878032392119463490e+00 ,1.725570567705535074e+00 ,-1.860854874398724546e+00 ,-1.899374032461339068e+00 ,-5.020342599043603471e-01 ,2.589990882130570049e-01 ,-1.272639552183976175e+00 ,-9.845495901541464479e-01 ,-1.329197786133413883e+00 ,9.962293947745973766e-01 ,-1.082088004569514927e+00 ,1.947254256611546941e+00 ,-2.245622289329655352e+00 ,-2.275554520326615204e+00 ,2.740564173677460857e+00
2.154520065432643516e+00 ,2.587805265584016023e+00 ,2.456851653666687785e+00 ,-1.789507052138183285e+00 ,1.830644219171492004e+00 ,5.886549776328026118e-01 ,-6.864027564290471339e-01 ,-1.186486536666545355e+00 ,-1.119656598014042576e-02 ,2.845534583569118148e+00 ,-1.396294420864736541e+00 ,-4.154065642897655786e-02 ,-5.006528882748447762e-01 ,5.551033862039032041e-01 ,-9.012023157209503310e-01 ,4.816159146966588755e-01 ,-1.926943541330568554e-01 ,1.638145859284025674e+00 ,2.344436018468507577e+00
