G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
3.257132788012260249e+00 ,3.035550478296901389e+00 ,3.618806610783241506e+00 ,-1.332583837534019766e+00 ,1.879194687967638666e+00 ,1.809242936914786437e+00 ,-5.103400994865571194e-01 ,-3.248220296565339726e+00 ,-1.515734069963787567e+00 ,3.137275648732973377e-01 ,-2.537021827279272834e+00 ,-1.776421942507799001e-01 ,-2.425008189250567270e+00 ,2.151067265189562150e+00 ,-9.949339899200397852e-01 ,7.826159905210759993e-01 ,1.248030782542679296e+00 ,-2.098351423006882932e+00 ,2.744308523860495619e+00
2.881309774010845537e+00 ,2.886261110511807892e+00 ,3.091886751028187330e+00 ,-1.791479377112580318e+00 ,1.881534429571564804e+00 ,2.368206109307332330e+00 ,-9.239542035922733154e-01 ,-1.364673567218833039e+00 ,-2.057943549089085167e-01 ,1.252092347233852543e+00 ,-3.055497971556510595e-01 ,5.806979295846498301e-01 ,-2.181317846716178455e+00 ,2.485849219030941359e+00 ,-5.001541008391156007e-01 ,1.520150854910116145e+00 ,-1.209804674136982783e+00 ,5.448458987053436120e-01 ,2.657941421567387330e+00
2.505486760009430824e+00 ,2.736971742726714396e+00 ,2.051557797152820939e+00 ,-2.357450542592803178e+00 ,1.856577185796354001e+00 ,1.405547312409060723e+00 ,-1.406503991715607471e+00 ,-1.268081427252345961e+00 ,7.298768701302905670e-01 ,9.223966128909550921e-01 ,-2.983316233303997311e+00 ,2.118443180695385397e+00 ,-4.350786742302251500e-03 ,1.694546419042228136e+00 ,-1.613408851271197264e+00 ,6.149944304326581124e-01 ,-3.636645988866069046e-01 ,6.565302925805069911e-01 ,2.413234631736914881e+00
2.129663746008016556e+00 ,2.736971742726714396e+00 ,2.416348469290936496e+00 ,-1.409066427463779858e+00 ,1.777805885130846031e+00 ,2.771901733813058044e+00 ,-1.716714569794893341e+00 ,-1.461265707185320339e+00 ,-9.075477736883078572e-01 ,7.702293508865402094e-01 ,-1.060817253505184299e+00 ,3.489828917460470747e-01 ,-1.109080339564865847e+00 ,2.820631172872320125e+00 ,-1.829875052744103225e+00 ,1.955966911140001763e+00 ,-5.651265215652676588e-01 ,9.810832320468509948e-02 ,2.240500427150698748e+00
1.753840732006601844e+00 ,1.691946168231059699e+00 ,9.571857807384759331e-01 ,-2.280967952663043086e+00 ,1.696694842861412367e+00 ,-3.955562430780268368e-01 ,-1.785650253812513633e+00 ,-9.300089373696400763e-01 ,1.057361798894010052e+00 ,9.731190335590939045e-01 ,-9.956776360577779261e-02 ,3.489828917460470747e-01 ,-6.541917001673399623e-01 ,2.032449882942701513e-01 ,-1.427866392865851708e+00 ,-1.161794106504572710e+00 ,-1.653020904030035654e+00 ,2.470208483715677639e-01 ,1.952610086173672155e+00
2.505486760009430824e+00 ,2.438393007156527403e+00 ,3.105397516662931512e+00 ,-5.677579382364189575e-01 ,1.739980062534042915e+00 ,2.896115772122512144e+00 ,-4.414044154689393262e-01 ,-2.234002826917221185e+00 ,-8.139806511843883374e-01 ,-7.514432691576049539e-01 ,3.810569813439260711e-01 ,-7.231717705141449404e-02 ,-2.148825801044925932e+00 ,3.185847849790188313e+00 ,-1.599929270959786209e-01 ,1.620723790963165989e+00 ,-7.262960597081956626e-01 ,-3.858573835876954461e-01 ,2.355656563541509652e+00
2.881309774010845537e+00 ,3.334129213867088826e+00 ,2.429859234925680678e+00 ,-2.801049564185412510e+00 ,1.911951070422602150e+00 ,7.844771208617887792e-01 ,-3.302235302200135614e+00 ,-1.364673567218833039e+00 ,1.057361798894010052e+00 ,2.190457129594409302e+00 ,2.437356256440101621e-01 ,1.444363070619446354e+00 ,-9.141280655373547059e-01 ,1.055417234435962026e+00 ,-2.726663601703280815e+00 ,2.462269982381380673e-01 ,-2.942377209173464347e+00 ,-5.347699087545807473e-01 ,3.003409830739820041e+00
2.881309774010845537e+00 ,1.691946168231059699e+00 ,1.889428609535880543e+00 ,-1.485549017393539950e+00 ,1.711123249418955661e+00 ,1.312386783676970703e+00 ,-1.475439675733227540e+00 ,-7.851207274199084596e-01 ,-1.188249141200068193e+00 ,6.687845095502641390e-01 ,-1.404120642754972170e+00 ,-9.149173146463377426e-01 ,2.718316014633392341e-01 ,9.336783421300044461e-01 ,-1.273247677528062338e+00 ,1.453102230874747880e+00 ,-1.169512289601249977e+00 ,-3.858573835876954461e-01 ,1.549563608805834658e+00
-1.252743380004714746e+00 ,-1.293841187470810228e+00 ,-1.582838158593587341e+00 ,1.374899845979487667e+00 ,-1.592981852258516628e+00 ,-5.197702813874829353e-01 ,2.109215893182970980e+00 ,3.256888821946981594e-01 ,8.234439926342101979e-01 ,-1.715169261852229621e+00 ,9.646727430685640980e-01 ,-1.841777466000753760e+00 ,1.197854903094018431e+00 ,-1.744577288601022014e+00 ,2.252059032173536757e+00 ,1.218432046750961728e+00 ,1.046568859864018597e+00 ,-3.486292522959734685e-01 ,-1.300550766866730434e+00
-8.769203660033002556e-01 ,-5.473943485453427460e-01 ,3.627120928096947972e-01 ,1.206638148134016264e+00 ,-4.987626954891331565e-01 ,1.436600821986424581e+00 ,1.316455526980351065e+00 ,3.591246229523498146e-02 ,5.427426251224497511e-01 ,-3.203026934784298230e-01 ,5.183783370438407312e-01 ,-1.315152380003926647e+00 ,-2.967791977835687600e-01 ,1.877154757501162230e+00 ,1.107880538673894577e+00 ,4.138485583265560375e-01 ,8.853993217210904820e-01 ,-1.242104403297287885e+00 ,-3.505126416425419222e-01
