TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
North Carolina,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,2016,0.825
Wisconsin,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,2015,0.900
Michigan,53.9,47.7,14,19.5,25.5,24.9,30.7,30,2018,0.825
Texas Tech,53.5,43,17.7,22.8,27.4,28.7,32.9,36.6,2019,0.816
Gonzaga,56.6,41.1,16.2,17.1,30,26.2,39,26.9,2017,0.949
Kentucky,49.9,46,18.1,16.1,42,29.7,51.8,36.8,2014,0.725
Michigan,54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,2013,0.789
Duke,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,2015,0.897
Virginia,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,2019,0.921
North Carolina,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,2017,0.846
Villanova,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,2016,0.875
Villanova,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,2018,0.900
Connecticut,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,2014,0.800
Louisville,50.6,44.8,18.3,27,38.2,33.3,40,34.9,2013,0.875
Louisville,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,2015,0.750
Notre Dame,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,2015,0.842
Notre Dame,54,49.5,15.3,14.8,32.7,32.1,32.9,26,2016,0.667
Virginia,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,2016,0.784
Duke,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,2018,0.784
Florida St.,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,2018,0.657
Duke,53.6,45,17.5,19.4,35.6,29.5,33.2,24,2019,0.842
Purdue,53.6,49,15.8,18.6,34.5,27,29.9,31.7,2019,0.722
Kansas,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,2016,0.865
Kansas,56.1,48.1,17.6,18.6,34.1,29.7,36,30,2017,0.861
Kansas St.,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,2018,0.676
Texas Tech,52,46.4,17.8,21.7,32.9,28.7,39.3,38,2018,0.730
Xavier,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,2017,0.632
Arizona,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,2015,0.895
Oregon,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,2016,0.811
Florida,51.6,45.8,16.9,21,32.1,29.5,40.2,34,2017,0.750
Kentucky,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,2017,0.842
Kentucky,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,2019,0.811
Gonzaga,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,2015,0.919
Gonzaga,59,44.2,14.9,19,31.5,26.8,35.3,25.9,2019,0.892
Arizona,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,2014,0.868
Michigan,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,2014,0.757
Michigan St.,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,2014,0.763
Dayton,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,2014,0.703
Ohio St.,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,2013,0.784
Duke,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,2013,0.833
Marquette,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,2013,0.743
Florida,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,2013,0.784
Syracuse,50,47.3,18.1,20.4,33.5,35.3,35.4,28,2016,0.622
Michigan St.,53.2,44.9,17.5,16.5,33.5,27,32.7,39,2015,0.692
Michigan St.,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,2019,0.821
Oklahoma,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,2016,0.784
Kansas,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,2018,0.795
Loyola Chicago,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,2018,0.865
Oregon,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,2017,0.868
Kentucky,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,2015,0.974
South Carolina,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,2017,0.722
Auburn,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,2019,0.769
Florida,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,2014,0.923
Wisconsin,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,2014,0.789
Syracuse,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,2013,0.750
Wichita St.,50,45.3,19.4,20,38,26.5,36.5,38.3,2013,0.769
Duquesne,51.2,51.7,18.3,16,31.7,33.3,32.5,33.8,2015,0.367
Fordham,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,2015,0.300
George Mason,45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,2015,0.267
George Washington,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,2015,0.629
La Salle,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,2015,0.515
Massachusetts,47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,2015,0.531
Rhode Island,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,2015,0.688
Richmond,52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,2015,0.600
Saint Joseph's,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,2015,0.419
Saint Louis,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,2015,0.323
St. Bonaventure,47.1,48.4,18.9,19.7,35,29,37.9,33.9,2015,0.581
Davidson,52,52,14.2,15.8,24.9,30.8,32.3,30.6,2016,0.594
Duquesne,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,2016,0.485
Fordham,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,2016,0.533
George Mason,45.1,48.4,18.6,10.2,33.5,22.8,34.4,30,2016,0.344
George Washington,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,2016,0.737
La Salle,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,2016,0.267
Massachusetts,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,2016,0.438
Rhode Island,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,2016,0.531
Richmond,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,2016,0.500
Saint Louis,47.7,50,19.5,18.5,20.7,27.9,37.8,39.3,2016,0.344
St. Bonaventure,51.5,49.6,16.5,19,31.3,33.4,37.5,37.4,2016,0.710
Davidson,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,2017,0.531
Duquesne,48.9,49.9,20,17.6,29,30.2,37.1,33.3,2017,0.313
Fordham,48.4,53,19.7,25.6,23.4,31,26.7,43.5,2017,0.419
George Mason,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,2017,0.606
George Washington,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,2017,0.571
La Salle,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,2017,0.500
Massachusetts,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,2017,0.455
Richmond,53.9,49.9,16.2,20,20.7,30.7,31.6,34.6,2017,0.629
Saint Joseph's,46.6,51.2,17,18,29.8,26.6,40.1,32.5,2017,0.355
Saint Louis,47,50.6,20.3,16.9,24.2,27.3,34.4,38.5,2017,0.364
St. Bonaventure,49.7,49.9,17.6,20.9,33,31,42.4,41.5,2017,0.625
Dayton,55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,2018,0.452
Duquesne,49.7,50.8,17.6,18.4,33,28.9,35.4,36.4,2018,0.500
Fordham,47.9,52.3,18.5,21.1,18.8,32.8,26.9,30.4,2018,0.290
George Mason,49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,2018,0.485
George Washington,49.5,51.4,19.2,17.1,31.7,30,28.9,28.1,2018,0.455
La Salle,49,51.7,16.5,17.5,25.5,25.4,31,33.8,2018,0.406
Massachusetts,52.5,51.5,18.6,16.5,27.2,29.7,25.1,33.2,2018,0.394
