"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR"
54.7,44,19.3,20.9,39,31.4,45.8,27,0.805555555555556
54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,0.911764705882353
53.3,41.5,20.3,18.4,33.8,29.3,39.5,32,0.837837837837838
50.6,44.8,18.3,27,38.2,33.3,40,34.9,0.875
51.1,43,20.1,22.4,30.4,31,36.8,35.3,0.78125
51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,0.805555555555556
50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,0.783783783783784
53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,0.833333333333333
50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,0.742857142857143
49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,0.742857142857143
48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,0.828571428571429
55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,0.783783783783784
49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,0.764705882352941
50.4,45.5,17.6,23.6,27.9,29.1,44,35,0.8
54.6,48,14.6,18.7,32.5,29.4,28.4,22.7,0.789473684210526
49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,0.75
48.6,43,15.7,18,32.6,26.9,29.7,25.7,0.657142857142857
48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,0.727272727272727
48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,0.705882352941177
51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,0.75
49.1,47.5,15.8,19.9,30.7,34,33.1,24.6,0.714285714285714
50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,0.742857142857143
52.5,46.6,19.5,19.8,35,26.7,37.4,32.9,0.771428571428571
52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,0.861111111111111
48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,0.65625
47.5,48.7,17.6,21.7,33.6,33,31,36,0.617647058823529
52.2,46.8,17.6,16,34,29.5,32,24.6,0.714285714285714
58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,0.777777777777778
51.7,44.6,18.1,22,40.4,30,37.5,36.4,0.727272727272727
49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,0.727272727272727
49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,0.685714285714286
54.2,46.8,18,16.6,34.7,32.6,40.9,29,0.685714285714286
47.3,47.3,22.9,22,33.1,29.5,50.6,40.9,0.575757575757576
51.2,46.1,18.9,17.6,38.7,28.6,35,29.7,0.676470588235294
49,49,15.9,20.1,30.8,31.4,35.6,34.1,0.705882352941177
50,45.3,19.4,20,38,26.5,36.5,38.3,0.769230769230769
47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,0.625
48.3,45.9,20,19.4,33.6,30.4,40.9,25.3,0.636363636363636
46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,0.647058823529412
53.8,48,18.5,18.6,34.2,28.5,33,32.7,0.657142857142857
49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,0.617647058823529
56.5,48,19.6,25,29.7,34.2,32.8,37,0.774193548387097
49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,0.818181818181818
53.7,47.1,18.3,17.9,36.9,25,37,36.9,0.794117647058823
51.1,44.4,20.7,23.6,36.5,29,41.4,42.8,0.823529411764706
48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,0.636363636363636
51,44.6,20.8,20.2,37.6,30.5,36.9,35,0.78125
49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,0.75
49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,0.756756756756757
51.8,51.4,18.4,20,30.3,24.4,33.7,42.2,0.633333333333333
53.3,51.2,16.4,17.1,28.9,26.1,33,24.4,0.6875
52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,0.766666666666667
49.3,45.4,21.9,18.6,36.9,29.8,47,30.7,0.676470588235294
51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,0.705882352941177
49,47.8,19.2,21.7,34.8,37.3,40.3,40.5,0.678571428571429
54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,0.655172413793103
53.1,45.3,17,18.8,29,28.5,38.9,36.4,0.757575757575758
55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,0.757575757575758
50.5,50,17.8,20,29.2,30.8,37.7,39.3,0.606060606060606
52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,0.588235294117647
51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,0.685714285714286
49.6,48.3,21.2,19.9,31.7,28.2,40,27.8,0.685714285714286
48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,0.542857142857143
45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,0.527777777777778
49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,0.666666666666667
54.4,52.6,20.3,18.4,35.2,33.5,45.6,31.6,0.588235294117647
47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,0.583333333333333
48.5,47.8,19.8,15.1,29,32.6,38.4,38.5,0.363636363636364
41.1,52.2,26.8,14.8,28.5,39.1,24.9,34.9,0
52.7,49.8,18.1,17.4,23.9,29.8,34.6,32.4,0.448275862068966
48.6,49.5,20.6,20.7,33,33.2,38.1,33.2,0.448275862068966
49.6,51.4,19.4,18.8,30.3,30.3,37.9,35.2,0.448275862068966
46.6,47.4,23.4,21.3,38.2,30.8,40.4,32.7,0.433333333333333
48,53.1,19.4,24.2,31.7,31.9,34.1,42.5,0.433333333333333
48.6,51.7,17.5,18.9,27.4,35.4,30.1,29.3,0.433333333333333
48.7,46.9,20,16.9,27.5,31.8,31.1,30.6,0.419354838709677
47.2,46.8,18.4,20.4,32,31.8,33.1,32.9,0.419354838709677
48.5,50.8,20.7,20.5,27.7,30.8,43.7,35.5,0.419354838709677
46.7,48.7,18.9,18.8,33.3,26,33.5,43.4,0.419354838709677
43.8,46.5,23.1,22.8,33.9,37.2,30.5,37.6,0.419354838709677
47.5,45.8,22.6,17.1,32.9,34.3,35.5,36.4,0.419354838709677
47.9,52.5,24.7,23.2,39.5,30.2,39,59.4,0.419354838709677
45.7,48.8,22.2,20.9,32.6,37.5,33.3,32.2,0.419354838709677
49.6,49.6,19.1,19.4,31.6,28.2,34.1,31.7,0.40625
47.5,48.2,17.3,19,25.9,36,33.9,37.8,0.40625
45.6,51.1,19.8,21.8,37.1,34,40.8,40,0.40625
47.5,50.1,17.5,15.5,30.7,33.2,36.8,38.1,0.40625
51.6,51.6,20,21.5,32.3,34.2,39.9,41.3,0.482758620689655
50.4,49,20.9,18.4,30.5,26.9,35.3,30.5,0.466666666666667
50,51.1,18,20.9,29.4,32.7,34.9,37,0.466666666666667
52.6,50.8,23.1,17.4,31.3,31,34.8,28.9,0.466666666666667
52.2,51.4,19.8,18.8,24.5,28.7,37.5,38.5,0.451612903225806
47.9,47.4,22.9,21.4,34.8,32.6,40.7,39.5,0.451612903225806
49.2,57,17.2,20.5,31,29.2,40.7,34,0.451612903225806
49.5,49.8,20,20.1,35.4,30.2,34.3,35.4,0.451612903225806
55.1,49.6,20.7,15.7,26.4,30.7,32.9,31,0.451612903225806
49.5,52,20.3,19.7,31.4,26.6,38.4,37.8,0.451612903225806
43.3,47,20.3,21.4,33.9,28,37.7,49.5,0.451612903225806
47.1,49.1,18.8,19.8,29.4,32.9,36.5,33.7,0.451612903225806
43.1,43.8,24.3,22.3,34.1,32.6,38.6,42.5,0.451612903225806
49.7,48.5,19.6,17.6,34.4,32.4,37,30.1,0.4375
47.2,46.9,19.5,17.6,29.2,29.5,30,37.6,0.4375
46.8,46.2,25.7,23.1,31.8,32.4,45.8,46.6,0.4375
48.3,49.7,20.6,20.4,30.3,34.3,37.8,37.7,0.4375
46.6,50.5,22.8,21,38.3,32.9,35.2,45.8,0.4375
49.4,50,20.4,24.7,31.7,39.6,43.9,38.9,0.576923076923077
48.3,48.6,17.9,21.3,28.8,34.4,37.5,35.9,0.535714285714286
50.2,49,20.7,17.4,35.3,29.5,36,32.7,0.535714285714286
48,48,17.9,19.7,34.1,31.5,32.7,41.5,0.517241379310345
51.7,48.7,20.7,18.6,31.7,29.7,36.9,36.8,0.5
48.3,50.8,23.1,19.7,35.9,29.5,46.6,36.2,0.5
48.7,47.9,21.3,19.6,35.8,34.4,32.4,39.8,0.483870967741935
49.1,48.6,17,18.1,26.6,31.5,36,35.6,0.483870967741935
46.5,49.3,20.2,15.7,41.3,25.8,41.1,42.2,0.483870967741935
53.1,45.9,18.5,15.1,28.2,33.2,33.4,35.1,0.483870967741935
46.9,45,23,18.5,32.1,30.5,45,37.9,0.46875
48.4,50.7,21.8,22.4,33.5,30.8,29.4,38.6,0.46875
51.3,46.7,23.8,19.4,31,32.8,34.5,39.1,0.454545454545455
45.4,48.6,17.3,18,26.1,30.7,28.4,38.9,0.454545454545455
53.9,48.2,20.3,20.8,30.6,28.6,34.6,37.6,0.615384615384615
48.6,48.3,17.9,19.5,33.6,28.9,29.7,29,0.551724137931034
45.9,46.8,22.8,21,36,32.9,45.4,37.7,0.551724137931034
54.7,51.9,18.5,19.1,23.7,31.8,30.8,36.6,0.533333333333333
48.7,52.9,15.7,19.6,31.2,28.2,33.3,38.6,0.533333333333333
44.7,46.9,20.9,23.5,31.5,35.6,33,37.7,0.533333333333333
46.8,45.4,19.3,19,32.6,28.3,28,33,0.516129032258065
48.9,49.8,21.9,19.9,34.7,32.6,40,39.5,0.516129032258065
46.4,48.8,22.3,23.2,31.8,32.6,42.7,42.9,0.516129032258065
48.6,47.8,21.7,18.9,30.1,29.6,43.6,41.3,0.5
48.4,46,19.5,18.5,27.9,29.5,35.1,33.5,0.484848484848485
45.7,42.9,21.4,19.1,34.6,33.8,40.4,41.9,0.484848484848485
51,51.1,17.7,17.9,28.1,30.7,39.7,29.1,0.484848484848485
46.3,45.5,19,17,37,29.7,33.5,33.3,0.470588235294118
51.5,48.7,20.7,18.7,34.3,32.8,41,25.9,0.607142857142857
52.2,47.4,18.8,21.5,25.9,31.2,26.5,33.2,0.566666666666667
48.3,45.2,22.2,16.2,39.2,31.9,40.3,37.6,0.566666666666667
53,49.2,21.7,21,35.2,30.4,39.7,37.5,0.548387096774194
50.1,46.7,20.4,18.6,34.3,29,41.4,33.3,0.548387096774194
51.9,45.3,17.9,17.5,31.4,33,31.2,29.8,0.548387096774194
50.1,50.9,20.8,19.5,32.1,36.1,36.3,32.1,0.548387096774194
48.3,49.4,22.2,24.9,25.8,30.8,30.7,41.5,0.548387096774194
48.2,46.5,19.6,18.2,26.6,29.8,42.1,38.7,0.53125
48.3,45.3,22.3,21.8,38,35.6,39.2,38.2,0.53125
44.9,43.5,27.1,26,34.4,32.5,35.3,45.3,0.53125
44.5,45.6,16.7,20.2,30.5,35.1,28.9,28.9,0.515151515151515
47.9,47.7,20.8,18,32.8,26.7,40.2,33.9,0.515151515151515
46,46.7,19.5,19.5,28.2,30.3,35.4,34.9,0.515151515151515
45.7,46.7,18.9,23.1,33.5,30.3,44.2,35.7,0.6
50.8,53.2,15.5,22.9,31.8,31.2,35.8,35.6,0.580645161290323
46.8,48.3,20.9,23.3,35.7,31.1,34.5,34.8,0.580645161290323
50.6,46.1,18.7,16.2,31.7,33.2,36.2,23.8,0.5625
50.6,46.6,19.7,19.7,28,33,42.6,34.8,0.5625
49.5,48.2,18.7,21.4,23.7,31.4,39.8,33,0.5625
48.9,51.1,21.7,25.6,31.3,36,35.8,37.1,0.5625
50.5,55.7,18.3,23.9,28.6,33.9,31.9,38.2,0.5625
51.8,48.4,18.7,21,29.5,31.4,34.4,34,0.545454545454545
48.8,47.5,21,21.9,34.9,33.5,32.9,35.7,0.545454545454545
52.7,52.3,18.7,20.6,25.1,32.6,28.2,31.5,0.545454545454545
48.2,48.2,19.8,18.4,37.3,31.3,33.8,32.3,0.529411764705882
49.9,49.7,22,20.6,30.9,36.6,40.4,34.8,0.529411764705882
48.3,51,17.8,21.7,30.3,31.7,29.9,35.3,0.514285714285714
47.5,46.8,17.3,19.2,32.1,28.5,33.4,33.7,0.558823529411765
49.3,45.6,23,22.9,30.6,31.1,45.5,38.8,0.678571428571429
52.4,48.1,20.5,20.2,32.5,31.8,39,33.5,0.655172413793103
51.4,48.9,18.2,18.8,28.3,35.2,39.9,33.5,0.633333333333333
49.2,47,20.5,21.6,34.4,34.8,33.4,38,0.612903225806452
54.4,51.8,19.2,17.6,30.5,29.7,37,30.2,0.612903225806452
47.5,46.9,21.9,22,35,30.5,40.3,41.8,0.612903225806452
49.2,46.8,17.4,19.1,26.4,30.1,29.2,36.5,0.612903225806452
48.4,49.2,16.3,24.6,31.7,33.5,35.1,44.4,0.59375
51.3,48.7,18.3,17.9,33.4,31.4,39.4,33.7,0.59375
48.3,51.7,16.4,22.5,32.5,33,38,40.6,0.575757575757576
46.4,45.8,22.1,22.8,36.2,31.1,36.4,43.9,0.575757575757576
46.3,46.5,18.7,15.9,33.1,32,42,33,0.575757575757576
45.9,46.2,19.1,19.8,37.4,32.3,37.4,33,0.558823529411765
52.5,49.1,18.6,22.8,27,35.8,43.2,43,0.558823529411765
49.9,49.3,20.5,18.7,35.9,31.4,38,27.5,0.558823529411765
47.7,51.6,19,20.6,35.5,27.7,46.7,33.5,0.558823529411765
49.1,45.5,23.3,20.9,30.6,31.8,39.4,38.3,0.558823529411765
48,44.2,18.6,16.3,30.4,31.2,30.2,37.9,0.542857142857143
47.7,44.4,21.5,21.6,33.5,32.2,28.9,45.6,0.542857142857143
50,45.3,18.2,20.1,28.5,36,36.9,31,0.666666666666667
51.6,45.8,19.4,19.4,24.7,27.4,39.8,28.3,0.689655172413793
53,47.6,16.4,20.4,26.9,34,36.4,28.6,0.666666666666667
52,47.8,20.9,15,37.4,27,40.5,30.7,0.666666666666667
47.9,46.2,20.1,17.4,36.5,28.8,42.2,34.4,0.606060606060606
51,52.2,19.8,22.3,31.4,35.7,38.8,29.1,0.606060606060606
51.1,48.8,19,19.7,24.6,26.5,33.2,25.1,0.588235294117647
52.7,50.4,19.6,19.8,34.8,33.1,34.3,32.4,0.588235294117647
48.8,48.5,18.9,20.8,34.5,33.2,43.8,41.3,0.588235294117647
48.5,50.7,16.9,21.5,29.3,29.3,31.1,34.4,0.571428571428571
52.6,43.9,19.4,17.6,34.7,31.2,41.7,30.2,0.636363636363636
49.5,47.4,20.3,18.9,32.4,32.6,35.8,35,0.636363636363636
47.1,46.9,22.3,20.2,36.5,31.1,44.8,39.3,0.636363636363636
48.6,46.7,20.6,20.6,34.3,28.8,44.8,33.8,0.636363636363636
46.2,44.9,21.1,22,33.7,36,40,38.5,0.636363636363636
48.2,46.9,22.3,19.1,35.6,29.1,45.8,35.5,0.617647058823529
56.2,47.3,18.6,26.2,22.7,34.1,31.2,41,0.6875
51.6,45.7,17.2,18.7,33.5,32.8,36.3,33.3,0.611111111111111
52.8,44.4,18.1,18.1,30,25.1,28.4,35.4,0.6875
50.3,46.7,19.5,21.8,29.6,32.6,35.6,40.3,0.647058823529412
47.9,45.7,19.9,22.6,32,32.9,33.9,32.7,0.628571428571429
52.3,46.4,18.5,18.1,28.3,30,35.9,26.6,0.628571428571429
49.5,46.8,20.3,24.3,26.4,29.1,33,43.5,0.628571428571429
48.5,47.3,20.3,21.8,34.7,33.4,35.3,44.5,0.578947368421053
51.6,44.1,18.2,20.9,28.3,27.9,31.6,31.8,0.657142857142857
50.5,42.2,20.5,22.6,34.1,25.9,40.4,35.5,0.821428571428571
54,51.2,17.9,25.5,27.9,38,34.8,43.7,0.696969696969697
50.2,48.1,17,19.3,32.8,27.7,36,37.6,0.657142857142857
46.9,45.8,18.4,20.9,37.1,35.9,41,42.4,0.657142857142857
