G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
2.302367199228671168e+00 ,2.557427940615106809e+00 ,1.626361382325283822e+00 ,-2.590823623406500520e+00 ,1.838075570576401807e+00 ,7.777945051778800689e-01 ,-2.509084887788368246e+00 ,-1.298452620075724706e+00 ,3.966243238700493112e-01 ,1.367801202948129013e+00 ,-1.534138133054505193e+00 ,1.004880620848619677e-01 ,-1.023596860874949277e+00 ,7.453556341260417772e-01 ,-2.540701353914719629e+00 ,7.394094563624105110e-01 ,-1.016131993870722949e+00 ,-8.533577216136168930e-01 ,2.430332975230345749e+00
2.648907030673467222e+00 ,3.000350904672295371e+00 ,1.584354991793543777e+00 ,-2.440054492194934532e+00 ,1.814132192587977643e+00 ,9.530679202507097436e-01 ,-1.456116951039475582e+00 ,-4.236793577982234660e-01 ,1.462293436230707178e+00 ,1.080254625327376594e+00 ,-1.272139287366391258e+00 ,3.675504401730160242e-01 ,-1.488848077908368817e+00 ,9.448877258343701957e-01 ,-1.549594231616731044e+00 ,5.638359756539751411e-01 ,-6.107417576254101643e-01 ,-1.299416634921706004e+00 ,2.762269060177130697e+00
1.955827367783875559e+00 ,2.114504976557918248e+00 ,1.402327299489333656e+00 ,-2.274208447862212434e+00 ,1.764675379038117331e+00 ,4.623023580467846561e-01 ,-1.863717442684206471e+00 ,-9.096645035079461428e-01 ,5.754778811892941742e-02 ,7.142862538100562819e-01 ,-2.095564230957607244e+00 ,2.912469035764008174e-01 ,-1.287239217193887120e+00 ,1.800147076191047635e-01 ,-1.970063919864362578e+00 ,9.149829370708458809e-01 ,-8.945149229971302018e-01 ,-2.005676580992849178e+00 ,2.257148930910283458e+00
1.262747704894283896e+00 ,2.705068928634169811e+00 ,1.654365642679777704e+00 ,-1.746516488621731256e+00 ,1.704228162477177344e+00 ,1.023177286279840059e+00 ,-1.693883904498901360e+00 ,-1.055460047220863284e+00 ,-3.933122209567552902e-02 ,1.001832831430808701e+00 ,-1.945850604850113852e+00 ,1.225965226884940806e+00 ,-7.909712523582396182e-01 ,1.277441212014920779e+00 ,-1.519560682456185585e+00 ,2.478037103787920636e-01 ,-1.380983206491503967e+00 ,-5.559851127415574856e-01 ,2.242716927216945155e+00
1.262747704894283896e+00 ,1.376300036462603682e+00 ,2.046425287642688051e+00 ,-1.354516747471660398e+00 ,1.694415302645856158e+00 ,1.654161580542028442e+00 ,-8.786829212094372510e-01 ,3.538968753373335496e-01 ,-9.112423140271235233e-01 ,1.603066584637834691e+00 ,-9.727120351514032537e-01 ,1.493027604973094835e+00 ,7.288493899509288498e-01 ,2.341612367792683891e+00 ,-1.309325838332370928e+00 ,-1.033432510380786484e-01 ,4.027338329878718537e-01 ,5.963337466376800178e-01 ,2.069532882896883308e+00
1.955827367783875559e+00 ,1.819223000519792466e+00 ,2.858548837923002850e+00 ,-7.062094832619244533e-01 ,1.704228162477177344e+00 ,2.179981825760517467e+00 ,-9.744864555703457165e-02 ,-1.735839251214474466e+00 ,-5.721657782760035671e-01 ,-4.620406546384743240e-01 ,-3.364291241945546740e-01 ,-1.063140871013525057e+00 ,-2.186724903458497238e+00 ,1.410462606487142834e+00 ,4.626535621397939169e-01 ,2.073767909746520477e+00 ,-1.097210041119785151e+00 ,-1.485274515466743939e+00 ,2.184988912443591058e+00
9.162078734494881749e-01 ,1.966863988538855246e+00 ,1.486340080552815746e+00 ,-1.821901054227514249e+00 ,1.690490158713327640e+00 ,1.443833482454632167e+00 ,-1.150416582305926916e+00 ,-5.208763869401676905e-01 ,8.325798698357724792e-01 ,3.744584802582593408e-01 ,-1.010140441678277323e+00 ,7.681440073052477890e-01 ,-3.412284092259347812e-01 ,1.776271441285746766e+00 ,-1.699761977419456782e+00 ,4.584918872289149849e-01 ,3.216557857388081532e-01 ,3.733042899836315209e-01 ,2.271580934603622204e+00
2.302367199228671168e+00 ,2.114504976557918248e+00 ,2.536499843846326652e+00 ,-1.309286008108188737e+00 ,1.761535263892094916e+00 ,1.338669433410933030e+00 ,-8.447162135723756959e-01 ,-2.756408057204892792e+00 ,-1.444076870207451568e+00 ,-8.018684281902713762e-01 ,-1.496709726527632567e+00 ,4.247780926204784979e-01 ,-2.124691407854041092e+00 ,9.448877258343701957e-01 ,-8.287890517636482546e-01 ,1.160785810062656465e+00 ,-1.648124977555655013e-01 ,-1.002044026049646597e+00 ,2.213852919830268107e+00
1.262747704894283896e+00 ,1.671582012500729464e+00 ,2.886553098277496510e+00 ,-4.046712208387922005e-01 ,1.644958489095996068e+00 ,3.301731682226625608e+00 ,-4.031490142905833629e-01 ,-1.638642222072530075e+00 ,-1.686274395743964760e+00 ,-9.064308200523635284e-01 ,-1.346996100420137843e+00 ,-1.253899712505063935e+00 ,-1.209697347688317270e+00 ,2.607655156737123114e+00 ,-4.984200109976513193e-01 ,2.495144263446764210e+00 ,-1.242734741310336372e-01 ,-4.444703844145305727e-01 ,1.881916834883482936e+00
1.262747704894283896e+00 ,1.523941024481666462e+00 ,2.984568009518224763e+00 ,-9.022093538369619914e-01 ,1.758002634352819005e+00 ,1.513942848483762704e+00 ,-1.314153531940960851e-01 ,-1.833036280356419301e+00 ,1.059872932262327511e-01 ,1.054114027361855221e+00 ,-3.700187197956673196e-02 ,-3.191813891965239458e-01 ,-4.418340142813410821e-05 ,6.123342396538196120e-01 ,4.926871113003373215e-01 ,1.827965036754710226e+00 ,-1.543139300989629925e+00 ,3.876010500256663743e-02 ,2.011804868123529211e+00
1.609287536339079727e+00 ,1.819223000519792466e+00 ,1.962412506579205962e+00 ,-8.720555275946484386e-01 ,1.550362520322057236e+00 ,1.654161580542028442e+00 ,-6.748826753870705852e-01 ,-1.881634794927391496e+00 ,-1.153439839563635827e+00 ,-6.188842424316112201e-01 ,-1.084997254732023908e+00 ,-7.770026087762168521e-01 ,-1.566389947413938666e+00 ,1.975803532994077516e+00 ,-7.987555026031026850e-01 ,5.287212795122876452e-01 ,-1.648124977555655013e-01 ,1.860167334343933998e+00 ,2.156124905056914454e+00
