RK,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
-1.724702953695116614e+00 ,-1.163056999499846311e-01 ,2.132311896888823721e+00 ,2.045394937005775127e+00 ,-2.261320461587597919e+00 ,1.851722214507599329e+00 ,1.478879570605141192e+00 ,-2.124665250911711656e+00 ,-1.090543823576533011e-01 ,-1.317651024101119950e-01 ,1.179155743580302618e+00 ,-5.333609402140013778e-01 ,6.477878653790768437e-01 ,-1.614656716295514327e+00 ,1.776710078678794824e+00 ,-2.199952967825527850e+00 ,3.540070076875764249e-01 ,-1.157082233840186047e+00 ,-3.392415967920698328e-01 ,2.735565150880668206e+00
-1.714903505094576230e+00 ,-1.163056999499846311e-01 ,1.767628709097275763e+00 ,1.809241487339825261e+00 ,-2.152468010716170443e+00 ,1.810609242142313446e+00 ,-6.033552828511980909e-02 ,-1.585066109294488657e+00 ,-5.543831391060838332e-01 ,1.684459971096087916e+00 ,1.979909818335810368e+00 ,6.231698645643887202e-01 ,-3.783704386902874139e-01 ,-3.353675522195538883e-01 ,-6.267710541667412816e-01 ,-1.573751784386095309e+00 ,7.422159971678963242e-01 ,-9.061401724769337918e-01 ,-7.932786912663819523e-01 ,2.395493899004996763e+00
-1.705104056494035625e+00 ,1.749872121974769046e+00 ,2.679336678576145214e+00 ,2.812893648420115245e+00 ,-1.234997353371286799e+00 ,1.794243884210500628e+00 ,2.839116169624439134e+00 ,-7.217074827069326348e-01 ,-1.791407463407281631e+00 ,-2.203614474591962247e-01 ,1.429391391941399192e+00 ,-1.791938580708130502e+00 ,1.263482847820695865e+00 ,-1.850315246520033208e+00 ,2.588696947883367905e+00 ,-6.344500092269461655e-01 ,2.100947460349015916e+00 ,-5.297270804320571846e-01 ,1.401233932026120232e+00 ,2.277208246178675566e+00
-1.695304607893495241e+00 ,5.057535740249332612e-01 ,2.314653490784597700e+00 ,2.547221017545921118e+00 ,-1.374950504491691650e+00 ,1.783466697279794566e+00 ,3.626621569056665884e+00 ,-1.081440243785081190e+00 ,-4.554211931619883136e-01 ,-4.316875736102934041e-02 ,-3.723052762584960762e-01 ,-4.653297164035068989e-01 ,2.578477098327184303e-01 ,-3.185348000606600394e-01 ,4.180191211524331152e+00 ,-1.354581370182292854e+00 ,1.518633976128536123e+00 ,-1.114903114933046557e-01 ,-3.014051722525460386e-01 ,2.144136886749064441e+00
-1.685505159292954858e+00 ,5.057535740249332612e-01 ,1.038262333514180069e+00 ,1.853520259152190652e+00 ,-1.701507857105974075e+00 ,1.735967243770386359e+00 ,1.085126870889027817e+00 ,-2.268558355342973343e+00 ,-4.059402201899397489e-01 ,-1.372113933097273808e+00 ,1.229202873252520867e+00 ,-6.694233878349877820e-01 ,-3.783704386902874139e-01 ,-5.878588346029670619e-01 ,1.127120583315136315e+00 ,-1.886852376105811580e+00 ,6.257533003237986113e-01 ,-1.909908417929940816e+00 ,3.796504694589193929e-01 ,1.907565581096423379e+00
-1.675705710692414474e+00 ,5.057535740249332612e-01 ,1.585287115201502006e+00 ,1.927318212172800305e+00 ,-1.608205756359035288e+00 ,1.729580762626264478e+00 ,1.085126870889027817e+00 ,-1.405199728755414545e+00 ,-5.543831391060838332e-01 ,5.770056579825507681e-01 ,1.729674169974713793e+00 ,1.088885026994705109e-02 ,6.067415332163030861e-01 ,-3.185348000606600394e-01 ,9.972026842424049908e-01 ,-1.072790837634548744e+00 ,7.810368961159288581e-01 ,-1.408024295203438081e+00 ,1.287724658407543687e+00 ,1.892779874493133230e+00
-1.665906262091873868e+00 ,-1.163056999499846311e-01 ,1.402945521305728027e+00 ,2.709576514191261332e+00 ,-9.084400007570044844e-01 ,1.721198506124603789e+00 ,2.015815070218022420e+00 ,-4.339212738444148121e-01 ,-1.494521625574994239e+00 ,-5.747468276555268707e-01 ,-9.978943971612372899e-01 ,7.592323121853751244e-01 ,-7.888337603180334279e-01 ,-1.580991211977726074e+00 ,1.159600058083319674e+00 ,-1.647991216473716769e-01 ,2.139768359297048228e+00 ,-6.133744342198074184e-01 ,1.286224063660224319e-03 ,2.040636940526034060e+00
-1.656106813491333485e+00 ,5.057535740249332612e-01 ,8.559207396184062011e-01 ,1.824001077943946392e+00 ,-1.499353305487610033e+00 ,1.685673704760424885e+00 ,9.777397709664499281e-01 ,-1.225333348216340212e+00 ,8.886950953053940339e-02 ,-2.646596199837367713e-01 ,8.038022710386579783e-01 ,-8.395014473612215644e-01 ,8.324963601115636935e-01 ,-5.878588346029670619e-01 ,8.777739073328399977e-02 ,-1.636371902730037187e+00 ,1.596275774024598304e+00 ,-2.369613421749292292e-01 ,-7.932786912663819523e-01 ,1.700565688650361951e+00
-1.646307364890793101e+00 ,5.057535740249332612e-01 ,1.402945521305728027e+00 ,1.897799030964556044e+00 ,-1.297198753869243770e+00 ,1.653741299039814372e+00 ,1.049331170914835187e+00 ,-1.621039385402304189e+00 ,-4.554211931619883136e-01 ,-6.633431727046110726e-01 ,1.029014354563644540e+00 ,-1.009579506887455347e+00 ,-9.104611355086476843e-02 ,-6.383570910796498854e-01 ,2.176952898060152408e-01 ,-1.354581370182292854e+00 ,1.712738470868695906e+00 ,-1.324376941415686293e+00 ,-5.284237194896994616e-01 ,1.774494221666812255e+00
-1.636507916290252718e+00 ,5.057535740249332612e-01 ,2.496995084680371679e+00 ,1.705924353110971570e+00 ,-1.468252605238630437e+00 ,1.653342143968306921e+00 ,1.801040870372869307e+00 ,-1.585066109294488657e+00 ,-1.346078706658851099e+00 ,1.064285555752507717e+00 ,7.811889079147772696e-02 ,-8.735170592664687206e-01 ,-8.914495907249698758e-01 ,-3.690330565373421967e-01 ,1.159600058083319674e+00 ,-1.291961251838350977e+00 ,1.829201167712790843e+00 ,-1.324376941415686293e+00 ,-1.360825059359270783e+00 ,2.129351180145774958e+00
